Week,Tier,#,Player 1,Player 2,Date,Completed by,Game,Goal,Source goal,Time (mins),Completed at (mins into match),Order,Square type,Start VOD link,End VOD link,Match link,Created unixtime
Week 1,C2,,Sabera,wyrm,03/02/2026,,General,Defeat a boss in 6 games on this card,Defeat a boss in 6 games on this card,,,,Other,,,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,Sabera,Campanella 3,CAMPANELLA 3: Beat Robopoke (Stage B Boss),CAMPANELLA 3: Beat Robopoke (Stage B Boss),2.9,5.7,2,Other,https://youtu.be/zYIsKI03svU?t=431,https://youtu.be/zYIsKI03svU?t=603,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,wyrm,Paint Chase,PAINT CHASE: EVEN-COAT allowed; Pass courses 18-25,PAINT CHASE: EVEN-COAT allowed; Pass courses 18-25,8.7,25.3,6,Diagonal,https://youtu.be/zYIsKI03svU?t=1263,https://youtu.be/zYIsKI03svU?t=1783,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,Sabera,General,"METROIDVANIA: Collect 6 abilities across Porgy, Vainger, and Golfaria","METROIDVANIA: Collect 6 abilities across Porgy, Vainger, and Golfaria",31.1,106.3,13,Other,https://youtu.be/zYIsKI03svU?t=4774,https://youtu.be/zYIsKI03svU?t=6642,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,,Paint Chase,PAINT CHASE: Beat 5 different courses with no enemies remaining,PAINT CHASE: Beat 5 different courses with no enemies remaining,,,,Diagonal,,,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,,Fist Hell,FIST HELL: Beat the 2nd scare,FIST HELL: Beat the 2nd scare,,,,Other,,,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,,Barbuta,BARBUTA: Defeat the Mimic,BARBUTA: Defeat the Mimic,,,,Diagonal,,,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,Sabera,Camouflage,"CAMOUFLAGE: FORM-ELDA allowed; Beat levels 2, 3, and 4","CAMOUFLAGE: FORM-ELDA allowed; Beat levels {{camo_easy}}, {{camo_easy}}, and {{camo_easy}}",8.3,45.8,10,Other,https://youtu.be/zYIsKI03svU?t=2513,https://youtu.be/zYIsKI03svU?t=3012,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,,Onion Delivery,ONION DELIVERY: Complete day 3,ONION DELIVERY: Complete day 3,,,,Other,,,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,Sabera,Velgress,VELGRESS: Collect all 3 keys in a run,VELGRESS: Collect all 3 keys in a run,7.1,37.5,8,Other,https://youtu.be/zYIsKI03svU?t=2090,https://youtu.be/zYIsKI03svU?t=2513,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,Sabera,Campanella 3,CAMPANELLA 3: Defeat Galbrain (Stage A Boss),CAMPANELLA 3: Defeat Galbrain (Stage A Boss),2.8,2.8,1,Center,https://youtu.be/zYIsKI03svU?t=263,https://youtu.be/zYIsKI03svU?t=431,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,,General,Beat 2 levels in 6 games on this card,Beat 2 levels in 6 games on this card,,,,Other,,,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
Week 1,C2,,Sabera,wyrm,03/02/2026,,Grimstone,GRIMSTONE: Have 3 Skills learned at once,GRIMSTONE: Have 3 Skills learned at once,,,,Other,,,https://ufo50.bingo/match/boPI4RdiTfOIEQOjFhPHtA,1772475634
